,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
95,0.649,0.259,2,-9.606,1,0.0447,0.841,0.0,0.0649,0.567,119.821,0zd2SSzszSuHCMpzokkKUo
96,0.675,0.34,5,-7.834,1,0.045,0.831,0.0,0.131,0.843,112.488,6yTZXMiGHX8bwAQHZvQxkf
97,0.562,0.374,4,-7.144,1,0.0567,0.76,0.0,0.335,0.556,68.987,1S80okWdnarCmC0KhJPxgK
98,0.614,0.314,8,-8.186,0,0.0361,0.819,0.0,0.136,0.52,90.008,2bNTtfRuUYgt32fe1X2zaD
99,0.739,0.348,0,-7.477,1,0.0613,0.675,0.0,0.326,0.498,98.047,36UcoqH2P24RtSGbLKLK3w
100,0.4,0.601,8,-4.758,1,0.0897,0.633,0.0,0.115,0.461,175.754,5mwZ597mJSZ4MtO0EtxWBE
101,0.682,0.493,8,-5.408,1,0.0243,0.718,0.0,0.101,0.486,93.023,31ZAhjSUqcNutSdVcd93a9
102,0.328,0.162,6,-8.775,1,0.0295,0.795,7.82e-06,0.0545,0.291,145.424,1KkMPNfvkmqHefdD4zWcNG
103,0.385,0.516,6,-6.657,1,0.0387,0.8,0.0,0.0926,0.308,132.948,0lN2KeotmSpAoBMRcSXTX6
104,0.565,0.618,8,-4.63,1,0.0407,0.71,0.0,0.113,0.316,127.824,6Vu5jrlveGRcQ7FqUujsut
105,0.508,0.488,5,-4.438,1,0.0303,0.642,0.0,0.0932,0.263,123.954,7hSxOrxogaR7YGpg4l8wmd
106,0.509,0.573,5,-5.29,1,0.0333,0.242,0.0,0.155,0.305,149.948,5kPpA4aMFeAQnahSnTIOi4
107,0.368,0.662,2,-2.872,1,0.0311,0.451,0.0,0.0854,0.213,153.871,3rxJpoEe435WLkaqJK5dnO
108,0.475,0.458,6,-5.72,1,0.0444,0.672,0.0,0.0814,0.342,67.347,3QRUPaizh0X42xNQMr8aPg
109,0.377,0.506,2,-4.975,1,0.0292,0.507,0.0,0.103,0.179,154.021,0fABPho2JTj4YZVsMjsUNR
110,0.387,0.462,10,-5.583,1,0.034,0.568,0.0,0.11,0.2,134.674,1C8vJqfSxRgF2lAxnwJz9E
111,0.415,0.477,4,-6.222,1,0.0413,0.798,0.0,0.226,0.3,137.594,3cZvGx80KaW9PrJ0OBez7o
112,0.615,0.541,6,-4.066,1,0.0291,0.571,0.0,0.116,0.372,127.883,607muQQkKQGweEVD6hAgwM
113,0.383,0.51,2,-5.039,1,0.0356,0.606,0.0,0.119,0.223,131.054,3PFF8Rjo6MFi6lT87uAT33
114,0.648,0.313,7,-6.778,1,0.0313,0.88,0.0,0.136,0.436,113.752,7CEp2jyohd05jqAiWafcOK
115,0.335,0.551,4,-5.136,1,0.0317,0.476,0.0,0.178,0.205,136.023,2JJTLtccyOLEqFGMaJEyZv
116,0.451,0.449,6,-6.104,1,0.0301,0.574,0.0,0.11,0.331,131.674,7oT5JOWwxnwcZRI6NLzhWs
117,0.672,0.46,1,-6.213,1,0.0292,0.521,0.0,0.144,0.204,141.822,4kaY4LbdbomICC25gYGGtn
118,0.51,0.695,1,-3.831,1,0.0403,0.27,0.0,0.0717,0.359,126.047,6gjmCJkyh45kw4vN7gv99o
119,0.556,0.464,3,-5.751,1,0.0374,0.37,0.0,0.12,0.251,134.1,30H0FtOCtb5jESDvFcxqXZ
120,0.563,0.444,6,-6.179,1,0.0448,0.512,0.0,0.106,0.269,135.85,37dkyQQNJLaqk09kkNr7In
121,0.35,0.348,4,-6.156,1,0.0317,0.805,4.48e-06,0.102,0.274,146.603,7neOIVKDsLaUXV5y84jGuY
122,0.497,0.493,0,-4.872,1,0.0326,0.667,0.0,0.25,0.695,144.042,18krdoAbqH1jHwymcaIyom
123,0.469,0.288,7,-7.03,1,0.0354,0.881,0.0,0.132,0.166,128.205,21P1ueLcjEGcKBDzwNL3xs
124,0.679,0.442,7,-8.928,1,0.0637,0.723,0.0,0.231,0.628,129.671,2Ghu1DdMwxS3VAyB7i38Wo
125,0.581,0.777,10,-4.74,1,0.0457,0.543,0.0,0.359,0.532,75.995,4TPXKIuXg411bVMZPZdYZl
126,0.703,0.701,0,-5.044,1,0.0348,0.29,0.0,0.373,0.773,97.984,52FaH5DT8zJzTBvkzhbCtC
127,0.747,0.58,9,-5.725,1,0.0301,0.546,0.0,0.102,0.375,125.976,7F8uVSXOgdAJBuGimjqoGu
128,0.341,0.288,8,-7.544,1,0.0335,0.852,0.0,0.363,0.443,170.202,7htOPFqaCfI6j5ssnz2cla
129,0.38,0.439,3,-5.529,1,0.0314,0.603,0.0,0.133,0.146,139.805,5ptViFrfoKdGPTdd9oQCwr
130,0.559,0.526,3,-6.183,1,0.0368,0.63,0.0,0.144,0.344,86.91,5efB9wfc6dn3pzll9ElIrH
131,0.638,0.328,3,-7.686,1,0.0378,0.933,0.0,0.287,0.285,125.539,0cAFqRrz8OqAoHdbiCM5OD
132,0.444,0.323,2,-8.514,1,0.0366,0.939,0.0,0.158,0.285,112.663,7foTlQj81Z7Ckz9o4tU9yF
133,0.42,0.314,6,-7.368,1,0.0324,0.798,2.2e-05,0.113,0.192,128.412,7mFigNlS2dsKMhcmJyfpeg
